100 	1000
308	250
74	159
431	273
45 	379
424 	210
441 	166
493 	43
488 	4
328 	230
341 	113
304 	170
210 	158
61 	434
100 	279
317 	336
98 	327
13 	268
311 	134
480 	150
80 	322
468 	173
394 	337
486 	246
229 	92
195 	358
2 	154
209 	445
169	491
125 	197
31 	404
223 	167
50 	25
302 	354
478 	409
229 	434
299 	482
136 	14
366 	315
64 	37
426 	170
116 	95
130 	2
18 	196
106 	405
452 	299
189 	124
6 	383
253 	67
217 	338
439 	145
2 	398
372 	329
138 	359
178 	398
295 	405
110 	232
246 	176
136 	299
143 	400
469 	413
261 	58
95 	9
396 	469
114 	31
7 	463
443 	366
83 	353
268 	322
196 	213
172 	402
91 	332
239 	58
117 	291
141 	180
336 	7
473 	99
96 	320
455 	224
290 	261
406 	127
124 	7
314 	271
239 	95
221 	345
367 	35
227 	395
364 	239
345 	91
51 	160
124 	448
386 	218
273 	40
248 	386
497 	386
124 	421
145 	469
236 	416
126 	35
43 	12
180 	153
